phrase_id,audio_ms,backend_ack_ms,first_text_ms,full_text_ms,ble_ack_ms,total_ms,session_id,ble_seq_id,error,accuracy_score
ja-greet-01,6340,3029,7330,7411,7605,7605,3d079300-ccbb-474b-81f2-080267b7c79f,1,,
ja-greet-01,5482,1491,6657,6734,6846,6846,3d079300-ccbb-474b-81f2-080267b7c79f,2,,
ja-greet-02,4657,1580,5454,5600,6061,6061,3d079300-ccbb-474b-81f2-080267b7c79f,3,,
ja-greet-04,4105,1160,5370,5381,5522,5522,3d079300-ccbb-474b-81f2-080267b7c79f,4,,
ja-greet-05,3988,1316,4909,5049,5194,5194,3d079300-ccbb-474b-81f2-080267b7c79f,5,,
ja-dir-01,4818,1327,5859,5939,6151,6151,3d079300-ccbb-474b-81f2-080267b7c79f,6,,
ja-dir-02,4766,1129,5842,5914,6068,6068,3d079300-ccbb-474b-81f2-080267b7c79f,7,,
ja-dir-03,4829,1394,5727,5806,5933,5933,3d079300-ccbb-474b-81f2-080267b7c79f,8,,
ja-dir-04,5511,2052,6561,6672,6846,6846,3d079300-ccbb-474b-81f2-080267b7c79f,9,,
ja-dir-05,3604,989,4484,4549,4622,4622,3d079300-ccbb-474b-81f2-080267b7c79f,10,,
ja-food-01,4269,1207,5103,5226,5365,5365,3d079300-ccbb-474b-81f2-080267b7c79f,11,,
ja-food-02,4407,1118,5216,5348,5483,5483,3d079300-ccbb-474b-81f2-080267b7c79f,12,,
ja-food-03,3400,987,4166,4233,4325,4325,3d079300-ccbb-474b-81f2-080267b7c79f,13,,
ja-food-04,3896,1222,4813,4878,5057,5057,3d079300-ccbb-474b-81f2-080267b7c79f,14,,
ja-food-05,3949,1063,4859,4870,5066,5066,3d079300-ccbb-474b-81f2-080267b7c79f,15,,
ja-transit-01,4597,1150,5569,5691,5810,5810,3d079300-ccbb-474b-81f2-080267b7c79f,16,,
ja-transit-02,4423,1197,5510,5575,5793,5793,3d079300-ccbb-474b-81f2-080267b7c79f,17,,
ja-transit-03,5409,1171,6603,6668,6843,6843,3d079300-ccbb-474b-81f2-080267b7c79f,18,,
ja-transit-04,3290,924,4105,4169,4328,4328,3d079300-ccbb-474b-81f2-080267b7c79f,19,,
ja-transit-05,5111,1011,6159,6214,6420,6420,3d079300-ccbb-474b-81f2-080267b7c79f,20,,
ja-pay-01,3166,938,4014,4082,4208,4208,3d079300-ccbb-474b-81f2-080267b7c79f,21,,
ja-pay-02,3744,1205,4898,4978,5114,5114,3d079300-ccbb-474b-81f2-080267b7c79f,22,,
ja-pay-03,3604,1017,4505,4571,4648,4648,3d079300-ccbb-474b-81f2-080267b7c79f,23,,
ja-pay-04,4163,1319,5038,5139,5328,5328,3d079300-ccbb-474b-81f2-080267b7c79f,24,,
ja-pay-05,3946,1059,5157,5239,5337,5337,3d079300-ccbb-474b-81f2-080267b7c79f,25,,
ja-emerg-01,3326,904,4189,4248,4431,4431,3d079300-ccbb-474b-81f2-080267b7c79f,26,,
ja-emerg-02,4053,1114,4906,4972,5080,5080,3d079300-ccbb-474b-81f2-080267b7c79f,27,,
ja-emerg-03,4127,899,5026,5083,5193,5193,3d079300-ccbb-474b-81f2-080267b7c79f,28,,
ja-emerg-03,5252,1021,6144,6337,6484,6484,3d079300-ccbb-474b-81f2-080267b7c79f,29,,
ja-emerg-05,4168,965,5069,5158,5363,5363,3d079300-ccbb-474b-81f2-080267b7c79f,30,,
vi-greet-01,3240,1194,4577,4580,4689,4689,3d079300-ccbb-474b-81f2-080267b7c79f,31,,
vi-greet-02,3538,1096,4477,4483,4566,4566,3d079300-ccbb-474b-81f2-080267b7c79f,32,,
vi-greet-03,3478,1093,4583,4599,4723,4723,3d079300-ccbb-474b-81f2-080267b7c79f,33,,
vi-greet-04,2790,1253,3614,3623,3740,3740,3d079300-ccbb-474b-81f2-080267b7c79f,34,,
vi-greet-05,3158,1197,3914,4068,4259,4259,3d079300-ccbb-474b-81f2-080267b7c79f,35,,
vi-dir-01,3190,1078,4156,4216,4359,4359,3d079300-ccbb-474b-81f2-080267b7c79f,36,,
vi-dir-02,3952,1086,4984,5089,5181,5181,3d079300-ccbb-474b-81f2-080267b7c79f,37,,
vi-dir-03,3843,936,5144,5245,5449,5449,3d079300-ccbb-474b-81f2-080267b7c79f,38,,
vi-dir-03,3402,1167,4447,4457,4651,4651,3d079300-ccbb-474b-81f2-080267b7c79f,39,,
vi-dir-04,3627,995,4580,4638,4766,4766,3d079300-ccbb-474b-81f2-080267b7c79f,40,,
vi-food-01,3010,951,3824,3832,3982,3982,3d079300-ccbb-474b-81f2-080267b7c79f,41,,
vi-food-02,3469,1283,4834,4972,5108,5108,3d079300-ccbb-474b-81f2-080267b7c79f,42,,
vi-food-03,3123,1100,4178,4239,4352,4352,3d079300-ccbb-474b-81f2-080267b7c79f,43,,
vi-food-03,4648,1015,5633,5720,5912,5912,3d079300-ccbb-474b-81f2-080267b7c79f,44,,
vi-food-04,2743,1303,3353,3430,3565,3565,3d079300-ccbb-474b-81f2-080267b7c79f,45,,
vi-food-05,2630,1128,3281,3319,3415,3415,3d079300-ccbb-474b-81f2-080267b7c79f,46,,
vi-transit-02,3150,996,4070,4122,4273,4273,3d079300-ccbb-474b-81f2-080267b7c79f,47,,
vi-transit-03,3686,978,4600,4676,4817,4817,3d079300-ccbb-474b-81f2-080267b7c79f,48,,
vi-transit-04,3931,1025,4677,4766,4998,4998,3d079300-ccbb-474b-81f2-080267b7c79f,49,,
vi-transit-04,3394,981,4258,4374,4514,4514,3d079300-ccbb-474b-81f2-080267b7c79f,50,,
vi-transit-05,4046,948,5257,5268,5443,5443,3d079300-ccbb-474b-81f2-080267b7c79f,51,,
vi-pay-02,3888,1166,4967,4979,5115,5115,3d079300-ccbb-474b-81f2-080267b7c79f,52,,
vi-pay-03,3294,1092,4810,4822,5031,5031,3d079300-ccbb-474b-81f2-080267b7c79f,53,,
vi-pay-04,2857,1008,3677,3750,3832,3832,3d079300-ccbb-474b-81f2-080267b7c79f,54,,
vi-pay-05,2973,1203,3691,3740,3879,3879,3d079300-ccbb-474b-81f2-080267b7c79f,55,,
vi-emerg-01,3001,1091,3965,3979,4114,4114,3d079300-ccbb-474b-81f2-080267b7c79f,56,,
vi-emerg-01,3779,1071,4761,4772,4913,4913,3d079300-ccbb-474b-81f2-080267b7c79f,57,,
vi-emerg-02,3648,1330,4512,4601,4770,4770,3d079300-ccbb-474b-81f2-080267b7c79f,58,,
vi-emerg-03,4079,1484,4868,4983,5188,5188,3d079300-ccbb-474b-81f2-080267b7c79f,59,,
vi-emerg-04,3825,1275,5075,5121,5246,5246,3d079300-ccbb-474b-81f2-080267b7c79f,60,,
