phrase_id,audio_ms,backend_ack_ms,first_text_ms,full_text_ms,ble_ack_ms,total_ms,session_id,ble_seq_id,error,accuracy_score
ja-greet-01,4534,1580,5652,5742,5875,5875,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,1,,
ja-greet-02,4649,978,5925,6079,6283,6283,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,2,,
ja-greet-03,3894,1057,4891,4965,5100,5100,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,3,,
ja-greet-04,4025,1121,5207,5293,5437,5437,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,4,,
ja-greet-04,3291,2052,3997,4146,4235,4235,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,5,,
ja-dir-01,4949,1073,6027,6204,6387,6387,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,6,,
ja-dir-02,4692,1141,5702,5711,5923,5923,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,7,,
ja-dir-03,4972,1261,6189,6262,6454,6454,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,8,,
ja-dir-04,3748,1162,4640,4718,4847,4847,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,9,,
ja-dir-05,4041,1527,4904,4968,5107,5107,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,10,,
ja-food-01,3715,1369,5056,5138,5354,5354,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,11,,
ja-food-01,4526,1039,5454,5552,5698,5698,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,12,,
ja-food-03,4364,1036,5140,5281,5479,5479,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,13,,
ja-food-03,4912,1051,6035,6103,6192,6192,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,14,,
ja-food-05,3091,1040,3847,3938,4022,4022,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,15,,
ja-transit-01,5285,1068,6200,6261,6387,6387,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,16,,
ja-transit-02,5232,940,6167,6286,6457,6457,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,17,,
ja-transit-02,6419,1293,7849,7961,8182,8182,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,18,,
ja-transit-03,5901,1171,6898,6963,7097,7097,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,19,,
ja-transit-05,4037,1106,4798,4887,5031,5031,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,20,,
ja-pay-01,4711,1298,5499,5623,5821,5821,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,21,,
ja-pay-01,4594,1278,5572,5705,5878,5878,a99a9912-3100-4a6f-a24a-2a19a3ac2a9b,22,,
