phrase_id,audio_ms,backend_ack_ms,first_text_ms,full_text_ms,ble_ack_ms,total_ms,session_id,ble_seq_id,error
greeting-01,8267,2999,9255,9429,9583,9583,bfb9374e-3440-4e70-80ba-a20dae7fb65c,1,
greeting-02,5437,1267,6381,6600,6812,6812,bfb9374e-3440-4e70-80ba-a20dae7fb65c,2,
weather-03,4906,1058,5784,5971,6167,6167,bfb9374e-3440-4e70-80ba-a20dae7fb65c,3,
weather-03,5295,948,6340,6436,6584,6584,bfb9374e-3440-4e70-80ba-a20dae7fb65c,4,
weather-04,6696,2022,7782,7790,7960,7960,bfb9374e-3440-4e70-80ba-a20dae7fb65c,5,
direction-06,4888,1084,5798,5860,5971,5971,bfb9374e-3440-4e70-80ba-a20dae7fb65c,6,
food-07,4724,1083,5801,5812,5913,5913,bfb9374e-3440-4e70-80ba-a20dae7fb65c,7,
food-08,5626,1090,6748,6824,6940,6940,bfb9374e-3440-4e70-80ba-a20dae7fb65c,8,
time-09,4441,973,5485,5573,5646,5646,bfb9374e-3440-4e70-80ba-a20dae7fb65c,9,
number-10,5558,1162,6797,6908,7036,7036,bfb9374e-3440-4e70-80ba-a20dae7fb65c,10,
