seq_id,mtu,payload_bytes,fragments,send_ts_us,ack_ts_us,rtt_ms,fw_proc_ms,status
4,247,16,1,1779259715138014,1779259715337879,199.87,32,0x01
5,247,16,1,1779259716154968,1779259716364073,209.10,31,0x01
6,247,16,1,1779259717127010,1779259717288427,161.42,31,0x01
7,247,16,1,1779259718243722,1779259718409958,166.24,31,0x01
8,23,208,18,1779259719234777,1779259719874479,639.70,472,0x01
9,185,208,2,1779259720796096,1779259720922693,126.60,33,0x01
10,247,208,1,1779259721875357,1779259722068803,193.45,33,0x01
11,23,208,18,1779259722859626,1779259723479522,619.90,569,0x01
12,185,208,2,1779259724350683,1779259724552632,201.95,79,0x01
13,247,208,1,1779259725437719,1779259725577998,140.28,32,0x01
14,23,208,18,1779259726418531,1779259727040264,621.73,471,0x01
15,185,208,2,1779259727919675,1779259728159823,240.15,129,0x01
16,247,16,1,1779259729007850,1779259729185513,177.66,32,0x01
17,247,16,1,1779259729987828,1779259730094539,106.71,31,0x01
18,247,16,1,1779259730975721,1779259731084936,109.22,32,0x01
19,247,16,1,1779259731954184,1779259732109290,155.11,32,0x01
20,247,16,1,1779259732943202,1779259733134090,190.89,31,0x01
21,247,16,1,1779259733927506,1779259734029199,101.69,32,0x01
22,247,16,1,1779259734980883,1779259735180134,199.25,32,0x01
23,247,16,1,1779259735963217,1779259736062245,99.03,32,0x01
